CREM	TRIM69
CREM	UBE2H
CREM	USP9X
CREM	ZDHHC14
CTCF	ABCA2
CTCF	ACKR3
CTCF	ACTR3
CTCF	ACVR1C
CTCF	AHCYL1
CTCF	AKT1
CTCF	ALDH1A3
CTCF	ANG
CTCF	ANKRD46
CTCF	APP
CTCF	ARL2
CTCF	ASAP2
CTCF	ATN1
CTCF	ATXN7
CTCF	B4GALNT1
CTCF	BATF2
CTCF	BBC3
CTCF	BCL2L14
CTCF	BCL6
CTCF	BICD2
CTCF	C1R
CTCF	CCL16
CTCF	CCND1
CTCF	CD80
CTCF	CDKN2A
CTCF	CELSR3
CTCF	CEP135
CTCF	CFTR
CTCF	CHRNA6
CTCF	CIDEB
CTCF	CNIH1
CTCF	COL27A1
CTCF	COMMD2
CTCF	CSF2
CTCF	CT45A5
CTCF	DEFB123
CTCF	DIP2B
CTCF	DMKN
CTCF	DMPK
CTCF	ELP5
CTCF	EPHB1
CTCF	EPX
CTCF	ESRP2
CTCF	ETNK2
CTCF	FBXO7
CTCF	GALNT6
CTCF	GALT
CTCF	GAS7
CTCF	GPR156
CTCF	GRIN3A
CTCF	H19
CTCF	HAUS7
CTCF	HEBP2
CTCF	HMCN1
CTCF	HS1BP3
CTCF	HSPA5
CTCF	IGF2
CTCF	IL19
CTCF	IPO13
CTCF	IRAK2
CTCF	KSR1
CTCF	LPIN3
CTCF	LRRC59
CTCF	MB
CTCF	MCM10
CTCF	MEG3
CTCF	MMP10
CTCF	MRPL17
CTCF	MYC
CTCF	MYD88
CTCF	NBN
CTCF	NCBP3
CTCF	NES
CTCF	NF1
CTCF	NFE2L2
CTCF	NPC1
CTCF	NT5C3A
CTCF	PAGE4
CTCF	PBXIP1
CTCF	PLXNB3
CTCF	PMPCB
CTCF	POMT2
CTCF	POU1F1
CTCF	PPARD
CTCF	PPRC1
CTCF	PRNT
CTCF	PRSS35
CTCF	PTPA
CTCF	PTPRG
CTCF	RAD21
CTCF	RARRES1
CTCF	RBL2
CTCF	RBM39
CTCF	RBMS3
CTCF	RPL39L
CTCF	RPP30
CTCF	S100Z
CTCF	SIX5
CTCF	SLC6A4
CTCF	SMIM7
CTCF	STAB2
CTCF	TBC1D14
CTCF	TERT
CTCF	TMBIM6
CTCF	TNFRSF18
CTCF	TRAPPC6A
CTCF	TRO
CTCF	TSFM
CTCF	TSPAN16
CTCF	TYSND1
CTCF	WT1
CTCF	ZNF20
CTCF	ZNF462
CTCF	ZNF613
CTCF	ZNF763
CTCF	ZNF804B
CTCF	ZNHIT2
CTCFL	ACTB
CTCFL	ADGRB2
CTCFL	ADSS1
CTCFL	ANKS6
CTCFL	ATG16L2
CTCFL	CABIN1
CTCFL	CACNA1H
CTCFL	CBX4
CTCFL	CBX8
CTCFL	CDH24
CTCFL	CHD5
CTCFL	COL13A1
CTCFL	COL27A1
CTCFL	CRIP2
CTCFL	CSK
CTCFL	CTBP1
CTCFL	DGKZ
CTCFL	DIAPH1
CTCFL	EXD3
CTCFL	FIBCD1
CTCFL	FLT3LG
CTCFL	GAD1
CTCFL	GBX1
CTCFL	GNAI2
CTCFL	IGDCC4
CTCFL	INKA2
CTCFL	JAG2
CTCFL	KCNIP3
CTCFL	KCNT1
CTCFL	KIAA1522
CTCFL	LZTS2
CTCFL	MAPK8IP3
CTCFL	MAST1
CTCFL	MIB1
CTCFL	NDUFA4L2
CTCFL	NELFA
CTCFL	NFE2L2
CTCFL	NRARP
CTCFL	NRXN2
CTCFL	PIEZO1
CTCFL	PIM1
CTCFL	PLEKHG5
CTCFL	PPM1F
CTCFL	PURA
CTCFL	PXN
CTCFL	RADIL
CTCFL	ROR2
CTCFL	SPEG
CTCFL	SVIL
CTCFL	TBC1D14
CTCFL	ZBTB7A
CTCFL	ZMIZ1
CTCFL	ZNF398
CTCFL	ZNF423
CUX1	ECT2
CUX1	RACGAP1
CUX1	EEF2
CUX1	FTO
CUX1	AHCY
CUX1	AHI1
CUX1	ALOXE3
CUX1	APOB
CUX1	ARID5B
CUX1	AXIN2
CUX1	CLEC16A
CUX1	CR2
CUX1	DAAM1
CUX1	DEPDC1B
CUX1	ETV4
CUX1	GMDS
CUX1	HSPD1
CUX1	ITGB4
CUX1	ITGB5
CUX1	JADE1
CUX1	KIAA1217
CUX1	KIFC3
CUX1	MACF1
CUX1	MED15
CUX1	MYADM
CUX1	NFIC
CUX1	PIM1
CUX1	PREX1
CUX1	PUF60
CUX1	RBCK1
CUX1	SEPTIN9
CUX1	SLC16A3
CUX1	SLC30A10
CUX1	SPTBN1
CUX1	SQSTM1
CUX1	SRCIN1
CUX1	TBC1D1
CUX1	TBC1D5
CUX1	TEX2
CUX1	UBAC1
CUX1	ZFAND3
DUX4	ADAMTS9
DUX4	ANO4
DUX4	ATF7IP
DUX4	AUTS2
DUX4	CCDC171
DUX4	CD200R1
DUX4	CEP290
DUX4	CPEB3
DUX4	CXCL13
DUX4	DMD
DUX4	EML5
DUX4	ESRRG
DUX4	EXOC4
DUX4	FBXL5
DUX4	FILIP1L
DUX4	GTF2F1
DUX4	IFT81
DUX4	NNT
DUX4	NRDE2
DUX4	NUP54
DUX4	PALMD
DUX4	PMS1
DUX4	PRKCH
DUX4	PSEN1
DUX4	RAI14
DUX4	RBBP6
DUX4	RHOBTB3
DUX4	SLC14A2
DUX4	SLC2A2
DUX4	STIM2
DUX4	SYBU
DUX4	TAPT1
DUX4	TMEM131L
DUX4	TMTC1
DUX4	USP3
DUX4	XIRP2
DUX4	ZEB2
E2F1	AARS1
E2F1	ABCA1
E2F1	ACSL1
E2F1	ACTR2
E2F1	ADH6
E2F1	AK3
E2F1	ALOX5AP
E2F1	AMPD3
E2F1	ANKRD16
E2F1	APAF1
E2F1	AR
E2F1	ARHGEF17
E2F1	ARL10
E2F1	ARMC8
E2F1	ASCC2
E2F1	ASF1B
E2F1	ATAD2
E2F1	ATG10
E2F1	ATM
E2F1	AURKA
E2F1	AXIN2
E2F1	B4GALT1
E2F1	BBC3
E2F1	BCL2
E2F1	BDH1
E2F1	BHLHE40
E2F1	BIN1
E2F1	BIRC5
E2F1	BLVRA
E2F1	BMI1
E2F1	BMP4
E2F1	BNIP3
E2F1	BRCA1
E2F1	BRD2
E2F1	CASP7
E2F1	CASR
E2F1	CBS
E2F1	CBX5
E2F1	CCDC7
E2F1	CCNA2
E2F1	CCND1
E2F1	CCND3
E2F1	CCNE1
E2F1	CCNE2
E2F1	CD2AP
E2F1	CD72
E2F1	CDAN1
E2F1	CDC25A
E2F1	CDC45
E2F1	CDC6
E2F1	CDCA4
E2F1	CDCA7
E2F1	CDH20
E2F1	CDH5
E2F1	CDK1
E2F1	CDKN1A
E2F1	CDKN1C
E2F1	CDKN2A
E2F1	CDKN2C
E2F1	CDT1
E2F1	CELF1
E2F1	CHKA
E2F1	CLASP2
E2F1	CLDN23
E2F1	CLDN5
E2F1	CNIH4
E2F1	COQ2
E2F1	COX15
E2F1	CSRNP3
E2F1	CTNNBIP1
E2F1	CTNND2
E2F1	CTSV
E2F1	CUL5
E2F1	CUX1
E2F1	DAPK2
E2F1	DBF4
E2F1	DCC
E2F1	DCLRE1C
E2F1	DDIT4
E2F1	DGKI
E2F1	DHFR
E2F1	DIRAS2
E2F1	DIRAS3
E2F1	DNMT1
E2F1	DPF2
E2F1	DRAM1
E2F1	DTL
E2F1	DUSP1
E2F1	DUSP4
E2F1	DYNC1I2
E2F1	E2F3
E2F1	E2F6
E2F1	ECT2
E2F1	EGF
E2F1	EGFR
E2F1	EIF3A
E2F1	ENPEP
E2F1	ERCC1
E2F1	ERCC8
E2F1	ETV4
E2F1	EYA2
E2F1	FAM184A
E2F1	FANCA
E2F1	FANCD2
E2F1	FBXO43
E2F1	FBXO5
E2F1	FGFR1
E2F1	FH
E2F1	FHIT
E2F1	FLT1
E2F1	FOXA2
E2F1	FOXM1
E2F1	GALC
E2F1	GATA3
E2F1	GINS3
E2F1	GMNN
E2F1	GNL3
E2F1	GPR158
E2F1	GRIK5
E2F1	H19
E2F1	H2AC17
E2F1	H2BC11
E2F1	H4C8
E2F1	HAT1
E2F1	HBA2
E2F1	HELLS
E2F1	HERPUD1
E2F1	HFE
E2F1	HIC1
E2F1	HIVEP1
E2F1	HMGA1
E2F1	HOXB9
E2F1	HSPA5
E2F1	HSPD1
E2F1	IER3
E2F1	IFT80
E2F1	IL12RB1
E2F1	IL1B
E2F1	IQCK
E2F1	IRF3
E2F1	IRF4
E2F1	ISYNA1
E2F1	ITGAL
E2F1	JPH2
E2F1	JUN
E2F1	KCNG4
E2F1	KCNJ16
E2F1	KCNJ2
E2F1	KCNK10
E2F1	KDM4C
E2F1	KDR
E2F1	KIF23
E2F1	KIF24
E2F1	KIF2C
E2F1	KIR3DL1
E2F1	KLF10
E2F1	KRT75
E2F1	LINGO1
E2F1	LMO1
E2F1	LYPLAL1
E2F1	MAP1LC3A
E2F1	MAP1LC3B
E2F1	MAP2K6
E2F1	MAP3K14
E2F1	MAP3K5
E2F1	MAPK1
E2F1	MAPK8
E2F1	MCM10
E2F1	MCM5
E2F1	MCM6
E2F1	MCM7
E2F1	MCM8
E2F1	MCM9
E2F1	MCMDC2
E2F1	MCPH1
E2F1	MDM2
E2F1	MEFV
E2F1	MEIS1
E2F1	MEMO1
E2F1	MIPEP
E2F1	MIR202
E2F1	MPPED2
E2F1	MPST
E2F1	MRAS
E2F1	MT1G
E2F1	MT1X
E2F1	MUC4
E2F1	MXI1
E2F1	MYB
E2F1	MYBL2
E2F1	MYC
E2F1	MYCN
E2F1	MYH10
E2F1	NCOA3
E2F1	NDC1
E2F1	NDUFAB1
E2F1	NDUFAF6
E2F1	NEK4
E2F1	NELL2
E2F1	NLRP5
E2F1	NOL9
E2F1	NPAT
E2F1	NTNG2
E2F1	OCA2
E2F1	OSR1
E2F1	PALD1
E2F1	PAX2
E2F1	PCBD2
E2F1	PCNA
E2F1	PCSK6
E2F1	PDK4
E2F1	PDPN
E2F1	PDXK
E2F1	PEG3
E2F1	PHLDB1
E2F1	PIGU
E2F1	PIK3R5
E2F1	PLAUR
E2F1	PLEKHB1
E2F1	PLEKHF2
E2F1	PLK1
E2F1	PLK4
E2F1	PNRC2
E2F1	POLA1
E2F1	POLA2
E2F1	POLD1
E2F1	POLE2
E2F1	POLR3A
E2F1	POU2AF1
E2F1	PPARG
E2F1	PPP1R13B
E2F1	PPP2R2D
E2F1	PRDM1
E2F1	PRIM2
E2F1	PRKDC
E2F1	PTPRO
E2F1	RAB40C
E2F1	RACGAP1
E2F1	RAD18
E2F1	RAD51
E2F1	RALGDS
E2F1	RASGEF1B
E2F1	RASGRP1
E2F1	RASSF8
E2F1	RB1
E2F1	RBM38
E2F1	RELA
E2F1	RFC2
E2F1	RNF128
E2F1	RRM1
E2F1	RRM2
E2F1	RRP1B
E2F1	RTN4
E2F1	RXRG
E2F1	SAFB
E2F1	SCARF1
E2F1	SCN8A
E2F1	SEPHS1
E2F1	SERPINE1
E2F1	SEZ6L2
E2F1	SIAH1
E2F1	SKP2
E2F1	SLC14A2
E2F1	SLC35F3
E2F1	SLC35G1
E2F1	SLC6A19
E2F1	SLX4
E2F1	SMARCA5
E2F1	SNTB2
E2F1	SOCS2
E2F1	SP110
E2F1	SP3
E2F1	SPOCK1
E2F1	SSTR1
E2F1	ST13
E2F1	STAM
E2F1	STX11
E2F1	SUCLG1
E2F1	SYNE2
E2F1	TAF5L
E2F1	TBC1D16
E2F1	TERT
E2F1	TGFB2
E2F1	THBS1
E2F1	THOC5
E2F1	TK1
E2F1	TMBIM1
E2F1	TMCO5A
E2F1	TMEM132A
E2F1	TMEM47
E2F1	TNFSF11
E2F1	TOP1
E2F1	TOP2A
E2F1	TOR1B
E2F1	TP53
E2F1	TP53BP2
E2F1	TP73
E2F1	TRERF1
E2F1	TRIT1
E2F1	TRPM2
E2F1	TSNARE1
E2F1	TXNDC15
E2F1	TYMS
E2F1	UBN1
E2F1	UBP1
E2F1	UHRF1
E2F1	ULK1
E2F1	UTRN
E2F1	VCP
E2F1	VEGFA
E2F1	VMP1
E2F1	VPS35L
E2F1	WDR25
E2F1	WRAP73
E2F1	WWOX
E2F1	XRCC1
E2F1	YBX3
E2F1	YME1L1
E2F1	ZEB1
E2F1	ZMYM2
E2F1	ZNF292
E2F1	ZNF350
E2F1	ZNF616
E2F1	ZNF654
E2F2	ASF1B
E2F2	CDC6
E2F2	CDCA4
E2F2	CDCA7
E2F2	CDT1
E2F2	E2F1
E2F2	MAP3K5
E2F2	MCM10
E2F2	MCM5
E2F2	MCM6
E2F2	MCM7
E2F2	MYCN
E2F2	PLK1
E2F2	PLK4
E2F3	AURKA
E2F3	CDC6
E2F3	CDKN1A
E2F3	CDKN2A
E2F3	E2F1
E2F3	MAP3K5
E2F3	MCM5
E2F3	MCM6
E2F3	MCM7
E2F3	MYCN
E2F3	PLK1
E2F3	TP53BP2
E2F3	TP73
E2F4	ACTG1
E2F4	ACTR5
E2F4	ADARB1
E2F4	AKR7A2
E2F4	ALDH5A1
E2F4	ANAPC15
E2F4	ANLN
E2F4	ANTKMT
E2F4	APRT
E2F4	ASF1B
E2F4	AURKB
E2F4	BACH1
E2F4	BARD1
E2F4	BCL11A
E2F4	BIRC5
E2F4	BORA
E2F4	BRCA1
E2F4	BUB3
E2F4	CALM1
E2F4	CALR
E2F4	CAV1
E2F4	CBX5
E2F4	CCNA2
E2F4	CCNB1
E2F4	CCND1
E2F4	CDC25A
E2F4	CDC25C
E2F4	CDC37L1
E2F4	CDC45
E2F4	CDC6
E2F4	CDCA4
E2F4	CDCA7
E2F4	CDK1
E2F4	CDK2
E2F4	CDKN2C
E2F4	CDT1
E2F4	CENPE
E2F4	CENPO
E2F4	CFAP20
E2F4	CHEK1
E2F4	CIB2
E2F4	CKS2
E2F4	CREG1
E2F4	CSE1L
E2F4	CTH
E2F4	CUTC
E2F4	CUX1
E2F4	CYP27B1
E2F4	DBF4
E2F4	DDX11
E2F4	DERL2
E2F4	DHFR
E2F4	DHPS
E2F4	DIRAS3
E2F4	DLEU1
E2F4	DROSHA
E2F4	DUT
E2F4	E2F1
E2F4	E2F2
E2F4	E2F3
E2F4	E2F8
E2F4	EIF2B2
E2F4	EIF4H
E2F4	EPAS1
E2F4	EXOSC9
E2F4	FAM210B
E2F4	FANCC
E2F4	FBXO5
E2F4	FDFT1
E2F4	FEN1
E2F4	FOXM1
E2F4	FST
E2F4	GABPA
E2F4	GADD45A
E2F4	GINS1
E2F4	GMNN
E2F4	GNAS
E2F4	GNPTG
E2F4	GPANK1
E2F4	H2AZ1
E2F4	H2BC11
E2F4	H2BC21
E2F4	H3C2
E2F4	HAGHL
E2F4	HCFC1
E2F4	HLTF
E2F4	HMGB1
E2F4	HMGB3
E2F4	HMGN2
E2F4	HMMR
E2F4	HNRNPD
E2F4	ID3
E2F4	IFNAR2
E2F4	IKBKG
E2F4	INSIG1
E2F4	ITGB3BP
E2F4	JUN
E2F4	KATNAL1
E2F4	KDM6A
E2F4	KHDRBS1
E2F4	KLF10
E2F4	KLHL21
E2F4	LGALS1
E2F4	LIN54
E2F4	LUC7L
E2F4	MAD2L1
E2F4	MAP3K5
E2F4	MAP3K7
E2F4	MAPRE1
E2F4	MBP
E2F4	MCM10
E2F4	MCM3
E2F4	MCM5
E2F4	MCM6
E2F4	MCM7
E2F4	MCM8
E2F4	METTL3
E2F4	MFAP1
E2F4	MKI67
E2F4	MLH1
E2F4	MSH2
E2F4	MTHFD1
E2F4	MYBL2
E2F4	MYC
E2F4	MYCL
E2F4	NAP1L4
E2F4	NASP
E2F4	NCL
E2F4	NDC80
E2F4	NEK2
E2F4	NFE2L1
E2F4	NFKB2
E2F4	NPAT
E2F4	NUSAP1
E2F4	NXT1
E2F4	OGFR
E2F4	ORC1
E2F4	P4HA2
E2F4	PARK7
E2F4	PCLAF
E2F4	PCNA
E2F4	PCNT
E2F4	PDXK
E2F4	PDXP
E2F4	PGRMC1
E2F4	PIGQ
E2F4	PIM2
E2F4	PKN2
E2F4	PLCG1
E2F4	PLK1
E2F4	PLK4
E2F4	PLSCR1
E2F4	POLA2
E2F4	POLD1
E2F4	POLD2
E2F4	POLE2
E2F4	POLR2D
E2F4	PPARG
E2F4	PPIA
E2F4	PRC1
E2F4	PRIM2
E2F4	PRKCSH
E2F4	PRPSAP1
E2F4	PRR11
E2F4	PTGS2
E2F4	RABIF
E2F4	RAD51
E2F4	RAD54L
E2F4	RB1
E2F4	RBBP5
E2F4	RBL1
E2F4	RECQL
E2F4	REL
E2F4	RFC2
E2F4	RFC3
E2F4	RFC4
E2F4	RIPK2
E2F4	RPA3
E2F4	RPL23A
E2F4	RPS15
E2F4	RPS4X
E2F4	RPS6
E2F4	RPS8
E2F4	RRM1
E2F4	SAYSD1
E2F4	SFPQ
E2F4	SH3BGR
E2F4	SIRPA
E2F4	SKP1
E2F4	SLC25A14
E2F4	SLC25A4
E2F4	SLC2A13
E2F4	SLC35F6
E2F4	SLC44A4
E2F4	SLCO4A1
E2F4	SMARCA4
E2F4	SMARCA5
E2F4	SMC2
E2F4	SMC4
E2F4	SP1
E2F4	SRPRA
E2F4	SRRM2
E2F4	SRSF8
E2F4	SS18L1
E2F4	STAM
E2F4	STMN1
E2F4	SUV39H1
E2F4	SUZ12
E2F4	TERT
E2F4	TFAM
E2F4	TFRC
E2F4	THOP1
E2F4	TK1
E2F4	TMPO
E2F4	TOP1
E2F4	TOP2A
E2F4	TOPBP1
E2F4	TRAF2
E2F4	TSNAX
E2F4	TTK
E2F4	TYMS
E2F4	UBE2C
E2F4	UMPS
E2F4	UNG
E2F4	USP25
E2F4	UXT
E2F4	VARS2
E2F4	VCP
E2F4	VHL
E2F4	VPS4A
E2F4	WDR76
E2F4	WEE1
E2F4	XRCC2
E2F4	YBX3
E2F4	YWHAH
E2F4	ZFP36L1
E2F4	ZNF267
E2F5	MYC
E2F5	CBX3
E2F5	CHEK2
E2F5	DPYSL2
E2F5	FANCC
E2F5	JADE1
E2F5	JSRP1
E2F5	MAP3K7
E2F5	MCM3
E2F5	PIM1
E2F5	PTMA
E2F5	SLC22A23
E2F5	SLC25A37
E2F6	APAF1
E2F6	BRCA1
E2F6	DEPDC5
E2F6	E2F1
E2F6	RBBP4
E2F6	RBBP8
E2F6	ZNF131
E2F6	ABR
E2F6	AGRN
E2F6	ARHGAP21
E2F6	BAHCC1
E2F6	BAHD1
E2F6	CCDC57
E2F6	CTDSP1
E2F6	EFNA3
E2F6	FAM178B
E2F6	FANCC
E2F6	FZD5
E2F6	GNAS
E2F6	HIRA
E2F6	ICAM5
E2F6	KAZALD1
E2F6	KCTD15
E2F6	LTBP3
E2F6	MACF1
E2F6	MEIS2
E2F6	MEX3B
E2F6	MROH1
E2F6	MXI1
E2F6	MYH9
E2F6	NACC2
E2F6	NFATC1
E2F6	NFATC2
E2F6	NFE2L2
E2F6	NFIB
E2F6	NOL4L
E2F6	OSBPL3
E2F6	PCBP1
E2F6	PDE4A
E2F6	PFKFB3
E2F6	PIEZO1
E2F6	PIP4K2A
E2F6	PTMA
E2F6	PTP4A2
E2F6	PTPRF
E2F6	PTPRU
E2F6	RAP1GAP
E2F6	RNH1
E2F6	RXRA
E2F6	RYR1
E2F6	SLC16A3
E2F6	SLC9A3
E2F6	SMAD3
E2F6	SRCIN1
E2F6	SRXN1
E2F6	ST3GAL1
E2F6	ST6GAL1
E2F6	TACC3
E2F6	TANGO2
E2F6	TCF3
E2F6	TFAP4
E2F6	TGIF1
E2F6	TNK2
E2F6	TRIB3
E2F6	TXNRD1
E2F6	ZCCHC2
E2F6	ZNF195
E2F6	ZNF395
E2F6	ZNF451
E2F7	E2F1
E2F7	SP1
E2F7	E2F8
E2F7	UHRF1
E2F7	AGRN
E2F7	ALDOA
E2F7	ARID1A
E2F7	CD44
E2F7	DNMT1
E2F7	DST
E2F7	EEF1A1
E2F7	ETS1
E2F7	FOS
E2F7	HNRNPD
E2F7	HNRNPK
E2F7	LGALS1
E2F7	MYEOV
E2F7	PDGFRA
E2F7	PFKM
E2F7	PLK2
E2F7	RCC1
E2F7	RFC4
E2F7	RMI1
E2F7	SLC1A5
E2F7	SMG6
E2F7	STAG2
E2F7	VGLL4
E2F7	WEE1
E2F7	ZFP36L1
E2F7	ZNF367
EBF1	DENND3
EBF1	FLI1
EBF1	LPP
EBF1	ACKR3
EBF1	ADAP1
EBF1	ANK1
EBF1	ANKRD44
EBF1	ARHGEF17
EBF1	ARHGEF2
EBF1	ARID5B
EBF1	BCL2
EBF1	BRF1
EBF1	CCDC33
EBF1	CDH23
EBF1	CLMN
EBF1	CMIP
EBF1	CORO2B
EBF1	CUX1
EBF1	DENND2B
EBF1	DPYSL2
EBF1	EEPD1
EBF1	EHD1
EBF1	ELMO1
EBF1	FAM102A
EBF1	FCHSD2
EBF1	FLNB
EBF1	FYN
EBF1	GRK5
EBF1	IL16
EBF1	INPP4A
EBF1	INSR
EBF1	IQSEC1
EBF1	ITPR1
EBF1	KSR1
EBF1	LAMC1
EBF1	LRCH1
EBF1	NAV2
EBF1	NCALD
EBF1	NOL4L
EBF1	PACSIN2
EBF1	PAG1
EBF1	PALM2AKAP2
EBF1	PIP4K2A
EBF1	PKIG
EBF1	PLCL2
EBF1	PLD1
EBF1	PMEPA1
EBF1	PPFIBP2
EBF1	PREX1
EBF1	PRKAG2
EBF1	PRKCD
EBF1	PTPRS
EBF1	RALGDS
EBF1	RASA3
EBF1	RBM20
EBF1	RBM47
EBF1	RFTN1
EBF1	RGS6
EBF1	RIN3
EBF1	SEMA4B
EBF1	SLC8A1
EBF1	SMAD7
EBF1	SPOCK1
EBF1	SPTBN1
EBF1	ST3GAL5
EBF1	STARD13
EBF1	TACC1
EBF1	TBC1D2B
EBF1	TCF3
EBF1	TCF4
EBF1	THEMIS2
EBF1	TNFRSF8
EBF1	UST
EBF1	UTRN
EBF1	WNT5B
EGR1	ABCA2
EGR1	ABCB1
EGR1	ACE
EGR1	ACHE
EGR1	AKR1B1
EGR1	ALOX5
EGR1	ANGPTL4
EGR1	APEX1
EGR1	APOA1
EGR1	AR
EGR1	AREG
EGR1	ATF3
EGR1	ATP2A2
EGR1	BAX
EGR1	BCAR1
EGR1	BCL2
EGR1	CACNA1H
EGR1	CAT
EGR1	CCND1
EGR1	CD19
EGR1	CD28
EGR1	CD44
EGR1	CD9
EGR1	CDH13
EGR1	CDK5
EGR1	CDK5R1
EGR1	CDKN1A
EGR1	CEBPB
EGR1	CHGA
EGR1	CHRNA7
EGR1	COL2A1
EGR1	CRABP2
EGR1	CTNNB1
EGR1	CYP2B6
EGR1	DMRT1
EGR1	EAPP
EGR1	EGFR
EGR1	ELK1
EGR1	EP300
EGR1	EPX
EGR1	F3
EGR1	FAS
EGR1	FASLG
EGR1	FASN
EGR1	FCER2
EGR1	FGF13
EGR1	FGF2
EGR1	FGFR3
EGR1	FLT1
EGR1	FN1
EGR1	FOSL1
EGR1	GDF15
EGR1	GDNF
EGR1	GGPS1
EGR1	HIF1A
EGR1	HSD11B2
EGR1	HYAL1
EGR1	IFNG
EGR1	IGF2
EGR1	IL2
EGR1	IL2RB
EGR1	IL3
EGR1	IL6
EGR1	IMPDH2
EGR1	JUN
EGR1	KCNH8
EGR1	LDLR
EGR1	LHB
EGR1	LMTK2
EGR1	LTB
EGR1	MMP14
EGR1	MYB
EGR1	MYC
EGR1	NAB2
EGR1	NFKB1
EGR1	PCSK2
EGR1	PDGFA
EGR1	PDGFB
EGR1	PDGFC
EGR1	PLAU
EGR1	PLAUR
EGR1	POR
EGR1	PPARG
EGR1	PSEN2
EGR1	PTEN
EGR1	PTGES
EGR1	PTGS2
EGR1	PTP4A1
EGR1	RBL2
EGR1	RELA
EGR1	RET
EGR1	SERPINE1
EGR1	SLC1A4
EGR1	SLC4A2
EGR1	SLC5A5
EGR1	SLC9A3
EGR1	SOD1
EGR1	SOS1
EGR1	SPP1
EGR1	SPRY1
EGR1	STIM1
EGR1	STMN1
EGR1	SYN1
EGR1	SYN2
EGR1	TBXA2R
EGR1	TCF4
EGR1	TFPI2
EGR1	TGFB1
EGR1	TGFBR2
EGR1	TH
EGR1	THBS1
EGR1	TIMP2
EGR1	TIMP3
EGR1	TMPO
EGR1	TNF
EGR1	TOE1
EGR1	TP53
EGR1	TP73
EGR1	TPO
EGR1	UBE2S
EGR1	VAMP2
EGR1	VEGFA
EGR1	WNT4
EGR1	WT1
EHF	SPRR1B
EHF	KRT15
EHF	FAM3D
EHF	FBXO32
EHF	GRB7
EHF	KTI12
EHF	LIMD1
EHF	LIPH
EHF	MAP3K13
EHF	MYH14
EHF	MYO5B
EHF	PMM2
EHF	SPTBN2
EHF	TMC5
EHF	TTC14
EHF	USP8
EHF	WDR55
EHF	WIPF2
EHF	WWC1
EHF	ZFP62
ELF1	BRCA2
ELF1	MEIS1
ELF1	ADCY7
ELF1	AFF1
ELF1	ANKMY1
ELF1	ARHGAP12
ELF1	ARHGDIA
ELF1	ASAP1
ELF1	ASPSCR1
ELF1	CAST
ELF1	CDC42SE2
ELF1	CHD9
ELF1	CYRIB
ELF1	DDX3X
ELF1	DPP9
ELF1	DYRK1A
ELF1	FAAP20
ELF1	FNDC3B
ELF1	FOXN3
ELF1	FOXO3
ELF1	GATAD2A
ELF1	IGF2R
ELF1	KLF9
ELF1	LARP4B
ELF1	LSM4
ELF1	MAFK
ELF1	MAP1LC3B
ELF1	MBNL1
ELF1	MED15
ELF1	MYO9B
ELF1	NEDD4L
ELF1	NFE2L2
ELF1	PCBP1
ELF1	PRKCH
ELF1	PTPA
ELF1	PTTG1IP
ELF1	RNF213
ELF1	RNF38
ELF1	SBNO2
ELF1	SEC14L1
ELF1	SGMS1
ELF1	SIN3A
ELF1	SREBF1
ELF1	STK24
ELF1	TACC1
ELF1	TRIB1
ELF1	TSNARE1
ELF1	TSPAN14
ELF1	UBE2H
ELF1	ZFYVE28
ELF1	ZNF217
ELF3	SPRR2A
ELF3	ITGB6
ELF3	ADGRF1
ELF3	ADGRV1
ELF3	ALCAM
ELF3	ARHGAP12
ELF3	ARHGAP32
ELF3	ARHGAP42
ELF3	ARSG
ELF3	ATP2A2
ELF3	BARX2
ELF3	CDCP1
ELF3	CFTR
ELF3	CTNNBIP1
ELF3	CYP24A1
ELF3	DOCK4
ELF3	F2RL1
ELF3	FAT1
ELF3	GMDS
ELF3	GRHL2
ELF3	HABP2
ELF3	HK2
ELF3	KRT8
ELF3	LPP
ELF3	MAL2
ELF3	MCC
ELF3	MEIS1
ELF3	MYEOV
ELF3	NEDD4L
ELF3	NFIA
ELF3	PLA2G4A
ELF3	PLA2G6
ELF3	PLD1
ELF3	PLEKHG3
ELF3	PTK2B
ELF3	PTPRE
ELF3	RABGAP1L
ELF3	RBM47
ELF3	RNF43
ELF3	RUNX1
ELF3	SEMA4B
ELF3	SEPTIN9
ELF3	SH3TC2
ELF3	SLC37A1
ELF3	SLC39A11
ELF3	SLC44A3
ELF3	SLX4IP
ELF3	SPRED2
ELF3	ST14
ELF3	TACC2
ELF3	TNIP1
ELF3	TSPAN15
ELF3	WWC1
ELF5	CCDC77
ELF5	CHCHD2
ELF5	ELOVL6
ELF5	FFAR4
ELF5	KDM5A
ELF5	KRT8
ELF5	LIMD1
ELF5	MRPL52
ELF5	NCBP2
ELF5	PTK2B
ELF5	PTPN6
ELF5	PYROXD2
ELF5	RAD50
ELF5	RBM34
ELF5	SLX4IP
ELF5	SMG7
ELF5	SNRPB2
ELF5	SUDS3
ELF5	TTC14
ELF5	VTCN1
ELK1	ACTA2
ELK1	CDKN1B
ELK1	CITED2
ELK1	DDIT4
ELK1	EGR1
ELK1	ERBB2
ELK1	F2
ELK1	FOS
ELK1	FOSL1
ELK1	FUT4
